working,http_status,curl_exit_code,link_type,url,clean_url,final_url,occurrences,first_base_product,first_suggestion_rank,first_suggestion,checked_at,error
yes,200,0,base_product_url,https://homefans.com/product/%e2%9a%ab%f0%9f%94%b5-matchday-with-lorenzo-live-inter-milan-at-san-siro-like-a-true-local-premium-seating/,https://homefans.com/product/%e2%9a%ab%f0%9f%94%b5-matchday-with-lorenzo-live-inter-milan-at-san-siro-like-a-true-local-premium-seating/,https://homefans.com/product/%e2%9a%ab%f0%9f%94%b5-matchday-with-lorenzo-live-inter-milan-at-san-siro-like-a-true-local-premium-seating/,1,Live Internazionale together w…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/%f0%9f%94%b4%f0%9f%94%b5fc-barcelona-matchday-experience-%f0%9f%94%b4%f0%9f%94%b5/,https://homefans.com/product/%f0%9f%94%b4%f0%9f%94%b5fc-barcelona-matchday-experience-%f0%9f%94%b4%f0%9f%94%b5/,https://homefans.com/product/%f0%9f%94%b4%f0%9f%94%b5fc-barcelona-matchday-experience-%f0%9f%94%b4%f0%9f%94%b5/,1,FC Barcelona Matchday Experien…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/1-fc-koln-matchday-experience-with-a-local/,https://homefans.com/product/1-fc-koln-matchday-experience-with-a-local/,https://homefans.com/product/1-fc-koln-matchday-experience-with-a-local/,1,FC Köln Matchday experience wi…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/a-night-at-alvalade-sporting-cp-matchday-experience/,https://homefans.com/product/a-night-at-alvalade-sporting-cp-matchday-experience/,https://homefans.com/product/a-night-at-alvalade-sporting-cp-matchday-experience/,1,A night at Alvalade: Sporting…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/a-s-roma-matchday-experience/,https://homefans.com/product/a-s-roma-matchday-experience/,https://homefans.com/product/a-s-roma-matchday-experience/,1,Experience Rome Like a True Ro…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/ac-milan-premium-matchday-experience-long-side-tribuna/,https://homefans.com/product/ac-milan-premium-matchday-experience-long-side-tribuna/,https://homefans.com/product/ac-milan-premium-matchday-experience-long-side-tribuna/,2,AC Milan Matchday Experience,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/airport-transfer/,https://homefans.com/product/airport-transfer/,https://homefans.com/shop/,1,Airport Transfers,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/ajax-amsterdam-matchday-experience/,https://homefans.com/product/ajax-amsterdam-matchday-experience/,https://homefans.com/product/ajax-amsterdam-matchday-experience/,1,Ajax Amsterdam Matchday Experi…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/alianza-lima-immersive-tour-experience-at-estadio-matute/,https://homefans.com/product/alianza-lima-immersive-tour-experience-at-estadio-matute/,https://homefans.com/product/alianza-lima-immersive-tour-experience-at-estadio-matute/,1,Alianza Lima Matchday Experien…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/argentine-stadium-tour-7-clubs-1-city-endless-passion/,https://homefans.com/product/argentine-stadium-tour-7-clubs-1-city-endless-passion/,https://homefans.com/product/argentine-stadium-tour-7-clubs-1-city-endless-passion/,1,Argentine Stadium Tour – 7 Clu…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/aris-fc-god-of-war-matchday-experience/,https://homefans.com/product/aris-fc-god-of-war-matchday-experience/,https://homefans.com/product/aris-fc-god-of-war-matchday-experience/,1,Aris FC “God Of War” Matchday…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/athletic-bilbao-matchday-experience/,https://homefans.com/product/athletic-bilbao-matchday-experience/,https://homefans.com/product/athletic-bilbao-matchday-experience/,1,Athletic Bilbao Matchday Exper…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/atletico-madrid-matchday-experience-2/,https://homefans.com/product/atletico-madrid-matchday-experience-2/,https://homefans.com/product/atletico-madrid-matchday-experience-2/,1,Atletico Madrid Matchday Exper…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/atleticonacional-football-tour/,https://homefans.com/product/atleticonacional-football-tour/,https://homefans.com/product/atleticonacional-football-tour/,1,Atletico Nacional Matchday Exp…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/authentic-flamengo-matchday-experience-hosted-by-a-local/,https://homefans.com/product/authentic-flamengo-matchday-experience-hosted-by-a-local/,https://homefans.com/product/authentic-flamengo-matchday-experience-hosted-by-a-local/,1,Flamengo at Maracanã – Officia…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/belgrade-basketball-experience-see-a-partizan-or-red-star-game-with-local/,https://homefans.com/product/belgrade-basketball-experience-see-a-partizan-or-red-star-game-with-local/,https://homefans.com/product/belgrade-basketball-experience-see-a-partizan-or-red-star-game-with-local/,1,Belgrade Basketball Experience…,,,2026-04-20 America/Los_Angeles,
