rank,base_product,suggested_product,recommendation_basis,commercial_review,location_priority_bucket,location_proximity,priority_bucket,score,base_customer_count,base_order_count,base_product_last_seen_date,base_product_orders_last_12m,base_product_live_title,base_product_url,base_product_url_confidence,base_product_locality,base_product_country,base_product_continent,suggested_customer_count,suggested_product_last_seen_date,suggested_product_orders_last_12m,suggested_product_recent_activity_weight,suggested_product_live_title,suggested_product_url,suggested_product_url_match_score,suggested_product_url_match_gap,suggested_product_url_confidence,suggested_product_locality,suggested_product_country,suggested_product_continent,overlap_customer_count,later_customer_count,later_customer_weighted_12m,post_purchase_rate,same_order_count,same_order_weighted_12m,same_order_rate,phi_coefficient,lift,recency_weighted_score,confidence_flag,suggested_product_url_clean
1,Watch Flamengo at Maracanã: Ti…,FIFA Street football court exp…,later_lifecycle,approved_same_city,0,same_city,3,20.579062,429,437,2026-04-12,437,Watch Flamengo at Maracanã: Ticket + Matchday Experience with a Local!,https://homefans.com/product/flamengo-live-at-maracana-stadium/,high,Rio de Janeiro,Brazil,South America,1,2025-11-27,1,1.624658,FIFA Street football court experience + Favela tour,https://homefans.com/product/fifa-street-football-court-experience-favela-tour/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_1,2.653,1.356,high,Rio de Janeiro,Brazil,South America,1,1,1.624658,0.002331,0,0.0,0.0,0.045708,9.622378,20.579062,medium,https://homefans.com/product/fifa-street-football-court-experience-favela-tour/
2,Watch Flamengo at Maracanã: Ti…,BOTAFOGO MATCHDAY EXPERIENCE,lifetime_overlap,approved_same_city,0,same_city,4,10.692235,429,437,2026-04-12,437,Watch Flamengo at Maracanã: Ticket + Matchday Experience with a Local!,https://homefans.com/product/flamengo-live-at-maracana-stadium/,high,Rio de Janeiro,Brazil,South America,2,2026-04-13,3,5.624658,BOTAFOGO MATCHDAY EXPERIENCE,https://homefans.com/product/botafogo-matchday-experience-2/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_2,2.665,0.275,high,Rio de Janeiro,Brazil,South America,1,0,0.0,0.0,0,0.0,0.0,0.028576,4.811189,10.692235,low,https://homefans.com/product/botafogo-matchday-experience-2/
3,Watch Flamengo at Maracanã: Ti…,See Fluminense like a local at…,later_lifecycle,approved_same_city,0,same_city,5,455.54698,429,437,2026-04-12,437,Watch Flamengo at Maracanã: Ticket + Matchday Experience with a Local!,https://homefans.com/product/flamengo-live-at-maracana-stadium/,high,Rio de Janeiro,Brazil,South America,419,2026-04-13,427,695.83289,See Fluminense like a local at Maracanã Stadium,https://homefans.com/product/watch-fluminense-live-at-maracana-stadium/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_3,2.732,1.547,high,Rio de Janeiro,Brazil,South America,3,2,3.479452,0.004662,0,0.0,0.0,-0.106577,0.068895,455.54698,medium,https://homefans.com/product/watch-fluminense-live-at-maracana-stadium/
1,See Fluminense like a local at…,Watch Flamengo at Maracanã: Ti…,later_lifecycle,approved_same_city,0,same_city,5,444.314697,419,427,2026-04-13,427,See Fluminense like a local at Maracanã Stadium,https://homefans.com/product/watch-fluminense-live-at-maracana-stadium/,high,Rio de Janeiro,Brazil,South America,429,2026-04-12,437,689.797273,Watch Flamengo at Maracanã: Ticket + Matchday Experience with a Local!,https://homefans.com/product/flamengo-live-at-maracana-stadium/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_1,2.452,0.712,high,Rio de Janeiro,Brazil,South America,3,1,1.819178,0.002387,0,0.0,0.0,-0.106577,0.068895,444.314697,medium,https://homefans.com/product/flamengo-live-at-maracana-stadium/
2,See Fluminense like a local at…,Botafogo Matchday Experience w…,later_lifecycle,approved_same_city,0,same_city,5,209.470619,419,427,2026-04-13,427,See Fluminense like a local at Maracanã Stadium,https://homefans.com/product/watch-fluminense-live-at-maracana-stadium/,high,Rio de Janeiro,Brazil,South America,167,2026-04-13,168,269.446588,BOTAFOGO MATCHDAY EXPERIENCE,https://homefans.com/product/botafogo-matchday-experience-2/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_2,2.631,0.251,high,Rio de Janeiro,Brazil,South America,4,3,4.942466,0.00716,0,0.0,0.0,-0.052728,0.235977,209.470619,medium,https://homefans.com/product/botafogo-matchday-experience-2/
3,See Fluminense like a local at…,Flamengo Matchday Adventure -…,later_lifecycle,approved_same_city,0,same_city,5,190.118853,419,427,2026-04-13,427,See Fluminense like a local at Maracanã Stadium,https://homefans.com/product/watch-fluminense-live-at-maracana-stadium/,high,Rio de Janeiro,Brazil,South America,169,2026-04-13,169,253.136988,Flamengo Matchday Adventure – Experience our Atmosphere!,https://homefans.com/product/flamengo-matchday-experience-2/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_3,2.486,0.926,high,Rio de Janeiro,Brazil,South America,2,2,3.487671,0.004773,0,0.0,0.0,-0.061347,0.116592,190.118853,medium,https://homefans.com/product/flamengo-matchday-experience-2/
1,Boca Juniors Matchday Like a L…,Experience River Plate Matchda…,later_lifecycle,approved_same_city,0,same_city,1,217.721441,184,185,2026-04-13,185,Boca Juniors Matchday Like a Local at La Bombonera – Long Side Seats with Transport,https://homefans.com/product/boca-juniors-matchday-experience-4/,high,Buenos Aires,Argentina,South America,125,2026-04-13,128,200.791785,Experience River Plate Matchday like a local at El Monumental – Shortside Seats,https://homefans.com/product/river-plate-matchday-experience/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_1,2.118,0.5,high,Buenos Aires,Argentina,South America,13,5,8.715068,0.027174,1,1.356164,0.005405,0.050887,2.333217,217.721441,high,https://homefans.com/product/river-plate-matchday-experience/
2,Boca Juniors Matchday Like a L…,Racing Club Local Matchday Exp…,later_lifecycle,approved_same_city,0,same_city,1,88.927824,184,185,2026-04-13,185,Boca Juniors Matchday Like a Local at La Bombonera – Long Side Seats with Transport,https://homefans.com/product/boca-juniors-matchday-experience-4/,high,Buenos Aires,Argentina,South America,41,2026-04-07,43,68.778082,Racing Club Local Matchday Experience,https://homefans.com/product/racing-club-local-matchday-experience/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_2,2.32,0.695,high,Buenos Aires,Argentina,South America,4,3,5.191781,0.016304,0,0.0,0.0,0.025717,2.188759,88.927824,high,https://homefans.com/product/racing-club-local-matchday-experience/
3,Boca Juniors Matchday Like a L…,CA Independiente Local Matchda…,later_lifecycle,approved_same_city,0,same_city,1,76.642617,184,185,2026-04-13,185,Boca Juniors Matchday Like a Local at La Bombonera – Long Side Seats with Transport,https://homefans.com/product/boca-juniors-matchday-experience-4/,high,Buenos Aires,Argentina,South America,41,2026-04-13,41,69.630138,CA Independiente Local Matchday Experience,https://homefans.com/product/independiente-local-matchday-experience/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_3,2.148,0.922,high,Buenos Aires,Argentina,South America,4,2,3.446575,0.01087,0,0.0,0.0,0.025717,2.188759,76.642617,high,https://homefans.com/product/independiente-local-matchday-experience/
1,⭐ Best Rated | Flamengo Matchd…,Botafogo FR Matchday Experienc…,later_lifecycle,approved_same_city,0,same_city,3,26.577011,179,187,2026-04-13,187,"⭐ Best Rated | Flamengo Matchday at Maracanã – Tickets, Pre Match Experience & Local Host",https://homefans.com/product/flamengo-match-day-experience-tour/,high,Rio de Janeiro,Brazil,South America,12,2026-03-13,12,17.441097,Botafogo FR Matchday Experience,https://homefans.com/product/botafogo-fr-matchday-experience/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_1,2.329,0.564,high,Rio de Janeiro,Brazil,South America,1,1,1.221918,0.005587,0,0.0,0.0,0.010597,1.921788,26.577011,medium,https://homefans.com/product/botafogo-fr-matchday-experience/
