base_product,base_product_trigger_eligible,base_customer_count,base_order_count,base_product_last_seen_date,base_product_orders_last_12m,base_product_recent_activity_weight,base_product_live_title,base_product_url,base_product_url_confidence,base_product_locality,base_product_country,base_product_continent,available_recommendations,needs_manual_fill,suggestion_1,suggestion_1_basis,suggestion_1_commercial_review,suggestion_1_phi,suggestion_1_lift,suggestion_1_recency_weighted_score,suggestion_1_location_proximity,suggestion_1_locality,suggestion_1_country,suggestion_1_continent,suggestion_1_live_title,suggestion_1_url_clean,suggestion_1_url,suggestion_1_url_match_score,suggestion_1_url_match_gap,suggestion_1_url_confidence,suggestion_1_last_seen_date,suggestion_1_orders_last_12m,suggestion_1_recent_activity_weight,suggestion_1_later_customers,suggestion_1_later_weighted_12m,suggestion_1_post_purchase_rate,suggestion_1_same_order_count,suggestion_1_same_order_weighted_12m,suggestion_1_confidence,suggestion_2,suggestion_2_basis,suggestion_2_commercial_review,suggestion_2_phi,suggestion_2_lift,suggestion_2_recency_weighted_score,suggestion_2_location_proximity,suggestion_2_locality,suggestion_2_country,suggestion_2_continent,suggestion_2_live_title,suggestion_2_url_clean,suggestion_2_url,suggestion_2_url_match_score,suggestion_2_url_match_gap,suggestion_2_url_confidence,suggestion_2_last_seen_date,suggestion_2_orders_last_12m,suggestion_2_recent_activity_weight,suggestion_2_later_customers,suggestion_2_later_weighted_12m,suggestion_2_post_purchase_rate,suggestion_2_same_order_count,suggestion_2_same_order_weighted_12m,suggestion_2_confidence,suggestion_3,suggestion_3_basis,suggestion_3_commercial_review,suggestion_3_phi,suggestion_3_lift,suggestion_3_recency_weighted_score,suggestion_3_location_proximity,suggestion_3_locality,suggestion_3_country,suggestion_3_continent,suggestion_3_live_title,suggestion_3_url_clean,suggestion_3_url,suggestion_3_url_match_score,suggestion_3_url_match_gap,suggestion_3_url_confidence,suggestion_3_last_seen_date,suggestion_3_orders_last_12m,suggestion_3_recent_activity_weight,suggestion_3_later_customers,suggestion_3_later_weighted_12m,suggestion_3_post_purchase_rate,suggestion_3_same_order_count,suggestion_3_same_order_weighted_12m,suggestion_3_confidence
Watch Flamengo at Maracanã: Ti…,yes,429,437,2026-04-12,437,689.797273,Watch Flamengo at Maracanã: Ticket + Matchday Experience with a Local!,https://homefans.com/product/flamengo-live-at-maracana-stadium/,high,Rio de Janeiro,Brazil,South America,3,no,FIFA Street football court exp…,later_lifecycle,approved_same_city,0.045708,9.622378,20.579062,same_city,Rio de Janeiro,Brazil,South America,FIFA Street football court experience + Favela tour,https://homefans.com/product/fifa-street-football-court-experience-favela-tour/,https://homefans.com/product/fifa-street-football-court-experience-favela-tour/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_1,2.653,1.356,high,2025-11-27,1,1.624658,1,1.624658,0.002331,0,0.0,medium,BOTAFOGO MATCHDAY EXPERIENCE,lifetime_overlap,approved_same_city,0.028576,4.811189,10.692235,same_city,Rio de Janeiro,Brazil,South America,BOTAFOGO MATCHDAY EXPERIENCE,https://homefans.com/product/botafogo-matchday-experience-2/,https://homefans.com/product/botafogo-matchday-experience-2/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_2,2.665,0.275,high,2026-04-13,3,5.624658,0,0.0,0.0,0,0.0,low,See Fluminense like a local at…,later_lifecycle,approved_same_city,-0.106577,0.068895,455.54698,same_city,Rio de Janeiro,Brazil,South America,See Fluminense like a local at Maracanã Stadium,https://homefans.com/product/watch-fluminense-live-at-maracana-stadium/,https://homefans.com/product/watch-fluminense-live-at-maracana-stadium/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_3,2.732,1.547,high,2026-04-13,427,695.83289,2,3.479452,0.004662,0,0.0,medium
See Fluminense like a local at…,yes,419,427,2026-04-13,427,695.83289,See Fluminense like a local at Maracanã Stadium,https://homefans.com/product/watch-fluminense-live-at-maracana-stadium/,high,Rio de Janeiro,Brazil,South America,3,no,Watch Flamengo at Maracanã: Ti…,later_lifecycle,approved_same_city,-0.106577,0.068895,444.314697,same_city,Rio de Janeiro,Brazil,South America,Watch Flamengo at Maracanã: Ticket + Matchday Experience with a Local!,https://homefans.com/product/flamengo-live-at-maracana-stadium/,https://homefans.com/product/flamengo-live-at-maracana-stadium/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_1,2.452,0.712,high,2026-04-12,437,689.797273,1,1.819178,0.002387,0,0.0,medium,Botafogo Matchday Experience w…,later_lifecycle,approved_same_city,-0.052728,0.235977,209.470619,same_city,Rio de Janeiro,Brazil,South America,BOTAFOGO MATCHDAY EXPERIENCE,https://homefans.com/product/botafogo-matchday-experience-2/,https://homefans.com/product/botafogo-matchday-experience-2/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_2,2.631,0.251,high,2026-04-13,168,269.446588,3,4.942466,0.00716,0,0.0,medium,Flamengo Matchday Adventure -…,later_lifecycle,approved_same_city,-0.061347,0.116592,190.118853,same_city,Rio de Janeiro,Brazil,South America,Flamengo Matchday Adventure – Experience our Atmosphere!,https://homefans.com/product/flamengo-matchday-experience-2/,https://homefans.com/product/flamengo-matchday-experience-2/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_3,2.486,0.926,high,2026-04-13,169,253.136988,2,3.487671,0.004773,0,0.0,medium
Boca Juniors Matchday Like a L…,yes,184,185,2026-04-13,185,297.326031,Boca Juniors Matchday Like a Local at La Bombonera – Long Side Seats with Transport,https://homefans.com/product/boca-juniors-matchday-experience-4/,high,Buenos Aires,Argentina,South America,3,no,Experience River Plate Matchda…,later_lifecycle,approved_same_city,0.050887,2.333217,217.721441,same_city,Buenos Aires,Argentina,South America,Experience River Plate Matchday like a local at El Monumental – Shortside Seats,https://homefans.com/product/river-plate-matchday-experience/,https://homefans.com/product/river-plate-matchday-experience/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_1,2.118,0.5,high,2026-04-13,128,200.791785,5,8.715068,0.027174,1,1.356164,high,Racing Club Local Matchday Exp…,later_lifecycle,approved_same_city,0.025717,2.188759,88.927824,same_city,Buenos Aires,Argentina,South America,Racing Club Local Matchday Experience,https://homefans.com/product/racing-club-local-matchday-experience/,https://homefans.com/product/racing-club-local-matchday-experience/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_2,2.32,0.695,high,2026-04-07,43,68.778082,3,5.191781,0.016304,0,0.0,high,CA Independiente Local Matchda…,later_lifecycle,approved_same_city,0.025717,2.188759,76.642617,same_city,Buenos Aires,Argentina,South America,CA Independiente Local Matchday Experience,https://homefans.com/product/independiente-local-matchday-experience/,https://homefans.com/product/independiente-local-matchday-experience/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_3,2.148,0.922,high,2026-04-13,41,69.630138,2,3.446575,0.01087,0,0.0,high
⭐ Best Rated | Flamengo Matchd…,yes,179,187,2026-04-13,187,308.391772,"⭐ Best Rated | Flamengo Matchday at Maracanã – Tickets, Pre Match Experience & Local Host",https://homefans.com/product/flamengo-match-day-experience-tour/,high,Rio de Janeiro,Brazil,South America,3,no,Botafogo FR Matchday Experienc…,later_lifecycle,approved_same_city,0.010597,1.921788,26.577011,same_city,Rio de Janeiro,Brazil,South America,Botafogo FR Matchday Experience,https://homefans.com/product/botafogo-fr-matchday-experience/,https://homefans.com/product/botafogo-fr-matchday-experience/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_1,2.329,0.564,high,2026-03-13,12,17.441097,1,1.221918,0.005587,0,0.0,medium,Brazil Game Experience at Mara…,later_lifecycle,approved_same_city,0.073114,23.061453,21.443001,same_city,Rio de Janeiro,Brazil,South America,Brazil Game Experience at Maracanã Stadium with a Local Fan,https://homefans.com/product/brazil-game-experience-at-maracana-stadium-with-a-local-fan/,https://homefans.com/product/brazil-game-experience-at-maracana-stadium-with-a-local-fan/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_2,2.425,0.934,high,2025-08-17,1,1.345205,1,1.345205,0.005587,0,0.0,medium,Botafogo Matchday Experience w…,later_lifecycle,approved_same_city,-0.025605,0.414278,209.273267,same_city,Rio de Janeiro,Brazil,South America,BOTAFOGO MATCHDAY EXPERIENCE,https://homefans.com/product/botafogo-matchday-experience-2/,https://homefans.com/product/botafogo-matchday-experience-2/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_3,2.631,0.251,high,2026-04-13,168,269.446588,3,5.035617,0.01676,0,0.0,medium
🏆 Top Rated | Fluminense Match…,yes,174,178,2026-04-10,178,290.660276,🏆 Top Rated | Fluminense Matchday Experience,https://homefans.com/product/see-fluminense-live-in-the-iconic-maracana/,high,Rio de Janeiro,Brazil,South America,3,no,Flamengo Matchday with Transpo…,later_lifecycle,approved_same_city,0.002726,1.186207,37.842007,same_city,Rio de Janeiro,Brazil,South America,Flamengo Matchday with Transport & Long Side seats,https://homefans.com/product/flamengos-game-at-maracana-stadium/,https://homefans.com/product/flamengos-game-at-maracana-stadium/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_1,2.0,0.487,high,2026-04-09,20,34.561642,1,1.619178,0.005747,0,0.0,medium,Botafogo FR Matchday Experienc…,lifetime_overlap,approved_same_city,0.011066,1.977011,16.51987,same_city,Rio de Janeiro,Brazil,South America,Botafogo FR Matchday Experience,https://homefans.com/product/botafogo-fr-matchday-experience/,https://homefans.com/product/botafogo-fr-matchday-experience/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_2,2.329,0.564,high,2026-03-13,12,17.441097,0,0.0,0.0,0,0.0,low,Vasco da Gama Match Experience,lifetime_overlap,approved_same_city,0.027357,4.744828,12.207662,same_city,Rio de Janeiro,Brazil,South America,Vasco da Gama Match Experience,https://homefans.com/product/vasco-da-gama-match-experience-the-most-hostile-ground-as-a-local/,https://homefans.com/product/vasco-da-gama-match-experience-the-most-hostile-ground-as-a-local/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_3,2.955,0.386,high,2026-03-26,5,7.646575,0,0.0,0.0,0,0.0,low
Flamengo Matchday Adventure -…,yes,169,169,2026-04-13,169,253.136988,Flamengo Matchday Adventure – Experience our Atmosphere!,https://homefans.com/product/flamengo-matchday-experience-2/,high,Rio de Janeiro,Brazil,South America,3,no,Santa Marta Favela Tour,later_lifecycle,approved_same_city,0.027954,4.885207,21.860982,same_city,Rio de Janeiro,Brazil,South America,"Santa Marta Favela Tour, Football Game w/ Locals & Traditional Lunch",https://homefans.com/product/santa-marta-favela-tour-football-game-w-locals-traditional-lunch/,https://homefans.com/product/santa-marta-favela-tour-football-game-w-locals-traditional-lunch/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_1,2.714,0.115,high,2026-02-11,5,7.649315,1,1.260274,0.005917,0,0.0,medium,Botafogo Matchday Experience w…,later_lifecycle,approved_same_city,-0.030013,0.292527,181.459174,same_city,Rio de Janeiro,Brazil,South America,BOTAFOGO MATCHDAY EXPERIENCE,https://homefans.com/product/botafogo-matchday-experience-2/,https://homefans.com/product/botafogo-matchday-experience-2/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_2,2.631,0.251,high,2026-04-13,168,269.446588,1,1.317808,0.005917,0,0.0,medium,SE Palmeiras Matchday Experien…,later_lifecycle,approved_same_country,-0.003495,0.857054,82.134744,same_country,São Paulo,Brazil,South America,SE Palmeiras Matchday Experience with local fan,https://homefans.com/product/se-palmeiras-matchday-experience/,https://homefans.com/product/se-palmeiras-matchday-experience/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_3,2.122,0.691,high,2026-04-13,57,87.380826,2,2.736987,0.011834,0,0.0,medium
Botafogo Matchday Experience w…,yes,167,168,2026-04-13,168,269.446588,BOTAFOGO MATCHDAY EXPERIENCE,https://homefans.com/product/botafogo-matchday-experience-2/,high,Rio de Janeiro,Brazil,South America,3,no,Vasco da Gama Match Experience,later_lifecycle,approved_same_city,0.028199,4.943713,24.385047,same_city,Rio de Janeiro,Brazil,South America,Vasco da Gama Match Experience,https://homefans.com/product/vasco-da-gama-match-experience-the-most-hostile-ground-as-a-local/,https://homefans.com/product/vasco-da-gama-match-experience-the-most-hostile-ground-as-a-local/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_1,2.955,0.386,high,2026-03-26,5,7.646575,1,1.616438,0.005988,0,0.0,medium,Santa Marta Favela Tour,later_lifecycle,approved_same_city,0.028199,4.943713,23.176327,same_city,Rio de Janeiro,Brazil,South America,"Santa Marta Favela Tour, Football Game w/ Locals & Traditional Lunch",https://homefans.com/product/santa-marta-favela-tour-football-game-w-locals-traditional-lunch/,https://homefans.com/product/santa-marta-favela-tour-football-game-w-locals-traditional-lunch/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_2,2.714,0.115,high,2026-02-11,5,7.649315,1,1.517808,0.005988,0,0.0,medium,Watch Flamengo at Maracanã: Ti…,later_lifecycle,approved_same_city,-0.057839,0.172857,443.06729,same_city,Rio de Janeiro,Brazil,South America,Watch Flamengo at Maracanã: Ticket + Matchday Experience with a Local!,https://homefans.com/product/flamengo-live-at-maracana-stadium/,https://homefans.com/product/flamengo-live-at-maracana-stadium/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_3,2.452,0.712,high,2026-04-12,437,689.797273,1,1.523288,0.005988,0,0.0,medium
Fluminense Matchday Experience…,yes,158,162,2026-04-12,162,271.93699,Fluminense Matchday Experience – Long Side Seats,https://homefans.com/product/fluminense-matchday-experience-short-side-seats/,high,Rio de Janeiro,Brazil,South America,3,no,Vasco da Gama Match Experience,later_lifecycle,approved_same_city,0.029354,5.225316,24.514632,same_city,Rio de Janeiro,Brazil,South America,Vasco da Gama Match Experience,https://homefans.com/product/vasco-da-gama-match-experience-the-most-hostile-ground-as-a-local/,https://homefans.com/product/vasco-da-gama-match-experience-the-most-hostile-ground-as-a-local/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_1,2.955,0.386,high,2026-03-26,5,7.646575,1,1.616438,0.006329,0,0.0,medium,Botafogo Matchday Experience w…,later_lifecycle,approved_same_city,-0.028146,0.312893,194.594148,same_city,Rio de Janeiro,Brazil,South America,BOTAFOGO MATCHDAY EXPERIENCE,https://homefans.com/product/botafogo-matchday-experience-2/,https://homefans.com/product/botafogo-matchday-experience-2/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_2,2.631,0.251,high,2026-04-13,168,269.446588,2,3.136986,0.012658,0,0.0,medium,Flamengo Matchday Adventure -…,later_lifecycle,approved_same_city,-0.034846,0.154595,175.28472,same_city,Rio de Janeiro,Brazil,South America,Flamengo Matchday Adventure – Experience our Atmosphere!,https://homefans.com/product/flamengo-matchday-experience-2/,https://homefans.com/product/flamengo-matchday-experience-2/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_3,2.486,0.926,high,2026-04-13,169,253.136988,1,1.50411,0.006329,0,0.0,low
Flamengo Matchday Experience (…,yes,152,153,2026-04-10,153,236.671232,Flamengo Matchday Experience (Short Side seats),https://homefans.com/product/flamengo-matchday-experience/,high,Rio de Janeiro,Brazil,South America,2,yes,Botafogo Matchday Experience w…,later_lifecycle,approved_same_city,-0.033618,0.162622,179.98889,same_city,Rio de Janeiro,Brazil,South America,BOTAFOGO MATCHDAY EXPERIENCE,https://homefans.com/product/botafogo-matchday-experience-2/,https://homefans.com/product/botafogo-matchday-experience-2/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_1,2.631,0.251,high,2026-04-13,168,269.446588,1,1.276712,0.006579,0,0.0,low,Flamengo Matchday Adventure -…,later_lifecycle,approved_same_city,-0.033905,0.160698,177.612963,same_city,Rio de Janeiro,Brazil,South America,Flamengo Matchday Adventure – Experience our Atmosphere!,https://homefans.com/product/flamengo-matchday-experience-2/,https://homefans.com/product/flamengo-matchday-experience-2/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_2,2.486,0.926,high,2026-04-13,169,253.136988,1,1.967123,0.006579,0,0.0,low,,,,,,,,,,,,,,,,,,,,,,,,,
Experience River Plate Matchda…,yes,125,128,2026-04-13,128,200.791785,Experience River Plate Matchday like a local at El Monumental – Shortside Seats,https://homefans.com/product/river-plate-matchday-experience/,high,Buenos Aires,Argentina,South America,3,no,Boca Juniors Matchday Like a L…,later_lifecycle,approved_same_city,0.050887,2.333217,301.519389,same_city,Buenos Aires,Argentina,South America,Boca Juniors Matchday Like a Local at La Bombonera – Long Side Seats with Transport,https://homefans.com/product/boca-juniors-matchday-experience-4/,https://homefans.com/product/boca-juniors-matchday-experience-4/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_1,2.438,0.254,high,2026-04-13,185,297.326031,7,12.021918,0.056,1,1.356164,high,CA Independiente Local Matchda…,later_lifecycle,approved_same_city,0.110605,7.249171,163.518292,same_city,Buenos Aires,Argentina,South America,CA Independiente Local Matchday Experience,https://homefans.com/product/independiente-local-matchday-experience/,https://homefans.com/product/independiente-local-matchday-experience/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_2,2.148,0.922,high,2026-04-13,41,69.630138,7,12.410959,0.056,1,1.756164,high,Velez Sarsfield like a local:…,later_lifecycle,approved_same_city,0.04952,3.669333,99.569707,same_city,Buenos Aires,Argentina,South America,Velez Sarsfield like a local: Matchday!,https://homefans.com/product/velez-sarsfield-like-a-local-matchday/,https://homefans.com/product/velez-sarsfield-like-a-local-matchday/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_3,2.771,0.91,high,2026-04-06,46,78.10411,2,3.917809,0.016,1,1.756164,high
